Layer,Position,harmful_refusal_rate,harmless_mean_KL,count,pareto,nr_harmful_refusal,nr_harmless_kl,composite
layer_10,-2.0,0.0,1.264218749291481,149,True,0.0,0.33431428928935875,0.33431428928935875
layer_10,-1.0,0.0,1.6954101566943747,149,True,0.0,0.4541137870768434,0.4541137870768434
layer_10,0.0,0.98989898989899,0.669893187899097,149,True,1.0,0.16919062830103757,1.1691906283010376
layer_10,1.0,0.0,2.41625,149,True,0.0,0.6543873772519233,0.6543873772519233
layer_11,-2.0,0.010101010101010102,0.16008911389858319,149,True,0.01020408163265306,0.027549883641649998,0.03775396527430306
layer_11,-1.0,0.0,0.7751098639561996,149,True,0.0,0.19842336516476564,0.19842336516476564
layer_11,0.0,0.9797979797979798,2.2933056671731946,149,True,0.9897959183673468,0.6202293001761745,1.6100252185435213
layer_11,1.0,0.0,1.5628125031476419,149,True,0.0,0.4172736923301157,0.4172736923301157
layer_12,-2.0,0.0,0.30418701357200234,149,True,0.0,0.06758513415158655,0.06758513415158655
layer_12,-1.0,0.0,0.4923681634615866,149,True,0.0,0.11986819652898467,0.11986819652898467
layer_12,0.0,0.8484848484848485,0.26797424421639504,149,True,0.8571428571428571,0.05752400698667948,0.9146668641295366
layer_12,1.0,0.0,1.3443750017504976,149,True,0.0,0.356584396309707,0.356584396309707
layer_13,-2.0,0.06060606060606061,0.061631013397147424,149,True,0.061224489795918366,0.00019490673191637983,0.06141939652783475
layer_13,-1.0,0.0,0.119372273594999,149,True,0.0,0.01623737384642381,0.01623737384642381
layer_13,0.0,0.9393939393939394,0.8298730480437729,149,True,0.9489795918367346,0.21363842241845715,1.1626180142551918
layer_13,1.0,0.0,0.2025286876363706,149,True,0.0,0.039341026815686575,0.039341026815686575
layer_14,-2.0,0.0,0.41975463989175976,149,True,0.0,0.09969371367312209,0.09969371367312209
layer_14,-1.0,0.0,0.11614975051947254,149,True,0.0,0.015342048384393143,0.015342048384393143
layer_14,0.0,0.9797979797979798,0.4243109120941264,149,True,0.9897959183673468,0.10095959957032546,1.0907555179376722
layer_14,1.0,0.0,1.3414770527275528,149,True,0.0,0.35577924845285713,0.35577924845285713
layer_15,-2.0,0.0,0.26026550422424805,149,True,0.0,0.055382259345658866,0.055382259345658866
layer_15,-1.0,0.0,0.13195282017107302,149,True,0.0,0.019732673464714887,0.019732673464714887
layer_15,0.0,0.9292929292929293,0.06092949035573696,149,True,0.9387755102040816,0.0,0.9387755102040816
layer_15,1.0,0.45454545454545453,1.9974017330818072,149,True,0.4591836734693877,0.5380172196734514,0.9972008931428391
layer_16,-2.0,0.0,0.4677264429442289,149,True,0.0,0.11302189650556912,0.11302189650556912
layer_16,-1.0,0.0,0.4607066347344147,149,True,0.0,0.1110715573205528,0.1110715573205528
layer_16,0.0,0.9797979797979798,0.1999499511444833,149,True,0.9897959183673468,0.03862456695273364,1.0284204853200805
layer_16,1.0,0.0,2.1982000750116937,149,True,0.0,0.5938057630135166,0.5938057630135166
layer_17,-2.0,0.9797979797979798,0.20524169810113577,149,True,0.9897959183673468,0.04009479251136373,1.0298907108787105
